id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType
839,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Aley,LB31,80,2023-10-15T00:00:00,2023,10,2,Conflict,,,South,LB6,BA
2688,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Chouf,LB33,41,2023-10-15T00:00:00,2023,10,2,Conflict,,,Mount Lebanon,LB3,BA
3859,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Baabda,LB32,857,2023-10-15T00:00:00,2023,10,2,Conflict,,,El Nabatieh,LB4,BA
3932,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Aley,LB31,305,2023-10-15T00:00:00,2023,10,2,Conflict,,,Not available,Not available,BA
6951,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,Beirut,LB11,25,2023-10-15T00:00:00,2023,10,1,Conflict,,,Mount Lebanon,LB3,BA
7804,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,El Nabatieh,LB44,207,2023-10-15T00:00:00,2023,10,2,Conflict,,,El Nabatieh,LB4,BA
9029,Displacement due to conflict,Lebanon,LBN,South,LB6,Saida,LB61,57,2023-10-15T00:00:00,2023,10,1,Conflict,,,South,LB6,BA
10323,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Jbeil,LB34,9,2023-10-15T00:00:00,2023,10,1,Conflict,,,El Nabatieh,LB4,BA
10829,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Aley,LB31,364,2023-10-15T00:00:00,2023,10,2,Conflict,,,El Nabatieh,LB4,BA
11768,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,Baalbek,LB21,12,2023-10-15T00:00:00,2023,10,2,Conflict,,,El Nabatieh,LB4,BA
15402,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,Baalbek,LB21,20,2023-10-15T00:00:00,2023,10,2,Conflict,,,South,LB6,BA
18604,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,Beirut,LB11,308,2023-10-15T00:00:00,2023,10,1,Conflict,,,South,LB6,BA
24124,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Jbeil,LB34,6,2023-10-15T00:00:00,2023,10,1,Conflict,,,Mount Lebanon,LB3,BA
24163,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Aley,LB31,311,2023-10-15T00:00:00,2023,10,1,Conflict,,,El Nabatieh,LB4,BA
25303,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,Chouf,LB33,923,2023-10-15T00:00:00,2023,10,2,Conflict,,,El Nabatieh,LB4,BA
26358,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,Hasbaya,LB42,585,2023-10-15T00:00:00,2023,10,2,Conflict,,,El Nabatieh,LB4,BA
28232,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,Baalbek,LB21,745,2023-10-15T00:00:00,2023,10,2,Conflict,,,Not available,Not available,BA
32197,Displacement due to conflict,Lebanon,LBN,South,LB6,Sour,LB63,291,2023-10-15T00:00:00,2023,10,2,Conflict,,,South,LB6,BA
